px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.60624	-8.2523	-2.82892	-2.4731	-0.932861	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.257049
5.68115	-8.13399	-2.79632	-2.46494	-0.848045	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.77015
5.81557	-8.02303	-2.83135	-2.51007	-0.845059	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.327123
5.90838	-7.91233	-2.80453	-2.51123	-0.778456	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.07354
6.04282	-7.80604	-2.83441	-2.54956	-0.77314	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.296528
6.13155	-7.69588	-2.79136	-2.53852	-0.693408	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.48865
6.26134	-7.59776	-2.80779	-2.57135	-0.687996	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.164919
6.35977	-7.49509	-2.76935	-2.56575	-0.622083	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.22927
6.48326	-7.40552	-2.77125	-2.59415	-0.616855	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.143294
6.59799	-7.32264	-2.77692	-2.61714	-0.608904	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.761918
6.73016	-7.23127	-2.81386	-2.63953	-0.60037	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.454452
6.79356	-7.11014	-2.7039	-2.58224	-0.464076	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	14.7463
6.91299	-7.01701	-2.70817	-2.59802	-0.455217	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.38994
7.04343	-6.93995	-2.71249	-2.62254	-0.454303	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0256574
7.175	-6.84336	-2.73571	-2.63565	-0.442926	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.488756
7.25916	-6.73694	-2.65305	-2.59471	-0.342559	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	8.38234
7.38266	-6.64129	-2.66931	-2.60232	-0.331994	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.400702
7.53424	-6.59488	-2.73457	-2.66557	-0.404872	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.87337
7.65896	-6.51846	-2.75101	-2.67865	-0.397965	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.167128
7.77455	-6.43852	-2.71644	-2.67759	-0.364792	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.08393
7.89874	-6.37195	-2.70394	-2.6949	-0.362686	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.126671
8.01938	-6.29971	-2.67473	-2.69716	-0.335736	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.698752
8.15326	-6.2175	-2.69189	-2.70466	-0.325233	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.302909
8.23372	-6.13024	-2.60454	-2.66717	-0.244949	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	6.28361
8.35205	-6.04391	-2.62932	-2.66451	-0.230619	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.547924
8.50389	-5.98702	-2.68358	-2.70252	-0.27095	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.02879
8.64383	-5.91014	-2.70361	-2.71006	-0.263642	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.144284
8.73644	-5.8175	-2.6049	-2.6689	-0.180315	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.05875
8.86654	-5.72731	-2.62787	-2.66456	-0.166622	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.419135
8.95627	-5.64394	-2.56518	-2.63268	-0.106343	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.76195
9.07003	-5.55248	-2.59028	-2.62144	-0.0906253	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.574992
9.21307	-5.48943	-2.64739	-2.65355	-0.135761	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.49259
